BN,ventBN,BS,IEnd,BE,I:E ratio,iTime,eTime,inst_RR,tvi,tve,tve:tvi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS.1,x01,tvi1,tve1,x02,tvi2,tve2,x0_index,abs_time_at_BS,abs_time_at_x0,abs_time_at_BE,rel_time_at_BS,rel_time_at_x0,rel_time_at_BE,vc,pc,prvc,ps,cpap_sbt,other_mode
20,10259,53.78,54.56,56.9,0.330508474576,0.78,2.36,19.1082802548,306.534444444,293.0875,0.956132354167,49.3,-74.92,26.63,26.63,23.5779487179,8.016,18.0498666667,22.4453, ,53.78,54.56,306.534444444,297.056666667,54.56,306.534444444,297.056666667,39,2016-06-18 02-21-26.388385,2016-06-18 02-21-27.168385,2016-06-18 02-21-29.508385,53.78,54.56,56.9,0,1,0,0,0,0
21,10260,56.92,57.84,59.64,0.505494505495,0.92,1.82,21.897810219,283.574166667,302.286666667,1.06598802782,46.69,-73.25,26.56,26.56,23.9445652174,7.76,21.6906166667,15.6276666667, ,56.92,57.84,283.574166667,302.983055556,57.7,282.9,311.666666667,46,2016-06-18 02-21-29.528385,2016-06-18 02-21-30.448385,2016-06-18 02-21-32.248385,56.92,57.84,59.64,0,1,0,0,0,0
22,10261,59.66,60.46,62.62,0.366972477064,0.8,2.18,20.1342281879,308.733333333,298.616666667,0.967231699417,46.14,-73.42,26.49,26.49,23.6105,7.774,18.5486,20.6301333333, ,59.66,60.46,308.733333333,302.794166667,60.46,308.733333333,302.794166667,40,2016-06-18 02-21-32.268385,2016-06-18 02-21-33.068385,2016-06-18 02-21-35.228385,59.66,60.46,62.62,0,1,0,0,0,0
23,10262,62.64,63.36,65.98,0.272727272727,0.72,2.64,17.8571428571,290.351388889,290.2625,0.999693857539,49.08,-71.96,26.62,26.62,23.345,7.824,16.4675666667,25.775, ,62.64,63.36,290.351388889,288.861111111,63.36,290.351388889,288.861111111,36,2016-06-18 02-21-35.248385,2016-06-18 02-21-35.968385,2016-06-18 02-21-38.588385,62.64,63.36,65.98,0,1,0,0,0,0
24,10263,66.0,66.92,69.34,0.377049180328,0.92,2.44,17.8571428571,277.634722222,260.701944444,0.939010590454,48.92,-73.32,26.51,26.51,23.8967391304,7.848,21.64905,20.5164833333, ,66.0,66.92,277.634722222,261.087777778,66.92,277.634722222,261.087777778,46,2016-06-18 02-21-38.608385,2016-06-18 02-21-39.528385,2016-06-18 02-21-41.948385,66.0,66.92,69.34,0,1,0,0,0,0
25,10264,69.36,70.28,72.2,0.474226804124,0.92,1.94,20.979020979,267.605,291.511111111,1.08933357415,55.4,-73.03,26.29,26.29,23.87,7.8,21.6220166667,16.5564666667, ,69.36,70.28,267.605,292.655,70.28,267.605,292.655,46,2016-06-18 02-21-41.968385,2016-06-18 02-21-42.888385,2016-06-18 02-21-44.808385,69.36,70.28,72.2,0,1,0,0,0,0
26,10265,72.22,73.14,75.28,0.425925925926,0.92,2.16,19.4805194805,324.059722222,319.017777778,0.984441310972,46.35,-76.25,26.53,26.53,23.9330434783,7.804,21.6763166667,18.3605, ,72.22,73.14,324.059722222,320.068888889,73.14,324.059722222,320.068888889,46,2016-06-18 02-21-44.828385,2016-06-18 02-21-45.748385,2016-06-18 02-21-47.888385,72.22,73.14,75.28,0,1,0,0,0,0
27,10266,75.3,76.12,78.08,0.414141414141,0.82,1.98,21.4285714286,302.917777778,316.663333333,1.04537718339,47.19,-75.4,26.52,26.52,23.68,7.72,19.0780666667,18.7148666667, ,75.3,76.12,302.917777778,315.688611111,76.12,302.917777778,315.688611111,41,2016-06-18 02-21-47.908385,2016-06-18 02-21-48.728385,2016-06-18 02-21-50.688385,75.3,76.12,78.08,0,1,0,0,0,0
28,10267,78.1,78.84,80.56,0.425287356322,0.74,1.74,24.1935483871,308.986666667,324.916666667,1.05155562268,48.49,-74.43,26.7,26.7,23.4467567568,7.524,17.0086666667,18.2217333333, ,78.1,78.84,308.986666667,323.909722222,78.84,308.986666667,323.909722222,37,2016-06-18 02-21-50.708385,2016-06-18 02-21-51.448385,2016-06-18 02-21-53.168385,78.1,78.84,80.56,0,1,0,0,0,0
29,10268,80.58,81.5,82.96,0.621621621622,0.92,1.48,25.0,303.993611111,302.747777778,0.995901777907,54.6,-73.05,26.59,26.59,23.9480434783,7.61,21.6987,12.8963833333, ,80.58,81.5,303.993611111,303.738888889,81.36,304.493333333,310.919722222,46,2016-06-18 02-21-53.188385,2016-06-18 02-21-54.108385,2016-06-18 02-21-55.568385,80.58,81.5,82.96,0,1,0,0,0,0
30,10269,82.98,83.72,85.62,0.385416666667,0.74,1.92,22.5563909774,316.596666667,335.941666667,1.06110298066,51.59,-77.16,26.59,26.59,23.3945945946,7.574,16.9736666667,19.7283166667, ,82.98,83.72,316.596666667,338.913333333,83.72,316.596666667,338.913333333,37,2016-06-18 02-21-55.588385,2016-06-18 02-21-56.328385,2016-06-18 02-21-58.228385,82.98,83.72,85.62,0,1,0,0,0,0
31,10270,85.64,86.4,88.16,0.426966292135,0.76,1.78,23.6220472441,317.153333333,319.031111111,1.00592072534,50.19,-74.56,26.59,26.59,23.4936842105,7.712,17.5161833333,18.2117333333, ,85.64,86.4,317.153333333,322.482777778,86.4,317.153333333,322.482777778,38,2016-06-18 02-21-58.248385,2016-06-18 02-21-59.008385,2016-06-18 02-22-00.768385,85.64,86.4,88.16,0,1,0,0,0,0
32,10271,88.18,88.98,90.9,0.412371134021,0.8,1.94,21.897810219,315.400277778,308.111111111,0.976889155843,51.05,-76.74,26.46,26.46,23.6205,7.664,18.5563833333,18.7393333333, ,88.18,88.98,315.400277778,311.287777778,88.98,315.400277778,311.287777778,40,2016-06-18 02-22-00.788385,2016-06-18 02-22-01.588385,2016-06-18 02-22-03.508385,88.18,88.98,90.9,0,1,0,0,0,0
33,10272,90.92,91.84,93.36,0.597402597403,0.92,1.54,24.3902439024,289.965,298.698888889,1.03012049347,50.4,-73.09,26.56,26.56,23.9054347826,7.764,21.65635,13.3882666667, ,90.92,91.84,289.965,300.144166667,91.84,289.965,300.144166667,46,2016-06-18 02-22-03.528385,2016-06-18 02-22-04.448385,2016-06-18 02-22-05.968385,90.92,91.84,93.36,0,1,0,0,0,0
34,10273,93.38,94.2,96.22,0.401960784314,0.82,2.04,20.979020979,317.096666667,314.3425,0.991314425675,48.67,-75.99,26.58,26.58,23.7265853659,7.538,19.116,19.1541833333, ,93.38,94.2,317.096666667,318.192222222,94.2,317.096666667,318.192222222,41,2016-06-18 02-22-05.988385,2016-06-18 02-22-06.808385,2016-06-18 02-22-08.828385,93.38,94.2,96.22,0,1,0,0,0,0
35,10274,96.24,96.98,98.78,0.406593406593,0.74,1.82,23.4375,301.33,322.407777778,1.06994915135,52.58,-73.68,26.6,26.6,23.4105405405,7.736,16.9872666667,18.8975333333, ,96.24,96.98,301.33,320.876388889,96.98,301.33,320.876388889,37,2016-06-18 02-22-08.848385,2016-06-18 02-22-09.588385,2016-06-18 02-22-11.388385,96.24,96.98,98.78,0,1,0,0,0,0
36,10275,98.8,99.72,101.4,0.541176470588,0.92,1.7,22.9007633588,313.378611111,315.543333333,1.00690768976,50.51,-74.85,26.67,26.67,23.9560869565,7.738,21.70315,14.7092666667, ,98.8,99.72,313.378611111,316.603611111,99.6,313.372222222,324.558055556,46,2016-06-18 02-22-11.408385,2016-06-18 02-22-12.328385,2016-06-18 02-22-14.008385,98.8,99.72,101.4,0,1,0,0,0,0
37,10276,101.42,102.28,104.02,0.488636363636,0.86,1.76,22.9007633588,333.197777778,343.651944444,1.03137525927,50.91,-77.71,26.56,26.56,23.8060465116,7.694,20.1335333333,16.32905, ,101.42,102.28,333.197777778,346.725555556,102.28,333.197777778,346.725555556,43,2016-06-18 02-22-14.028385,2016-06-18 02-22-14.888385,2016-06-18 02-22-16.628385,101.42,102.28,104.02,0,1,0,0,0,0
38,10277,104.04,104.9,106.62,0.494252873563,0.86,1.74,23.0769230769,329.53,334.897777778,1.01628919303,53.52,-76.01,26.53,26.53,23.796744186,7.576,20.1244666667,16.0997333333, ,104.04,104.9,329.53,333.900833333,104.9,329.53,333.900833333,43,2016-06-18 02-22-16.648385,2016-06-18 02-22-17.508385,2016-06-18 02-22-19.228385,104.04,104.9,106.62,0,1,0,0,0,0
39,10278,106.64,107.5,109.46,0.434343434343,0.86,1.98,21.1267605634,315.6,327.221111111,1.03682227855,49.58,-74.57,26.61,26.61,23.8090697674,7.724,20.1420666667,18.0071333333, ,106.64,107.5,315.6,326.545555556,107.5,315.6,326.545555556,43,2016-06-18 02-22-19.248385,2016-06-18 02-22-20.108385,2016-06-18 02-22-22.068385,106.64,107.5,109.46,0,1,0,0,0,0
40,10279,109.48,110.3,112.16,0.436170212766,0.82,1.88,22.2222222222,327.464444444,329.615833333,1.00656983964,50.99,-78.45,26.54,26.54,23.6895121951,7.674,19.089,17.9776, ,109.48,110.3,327.464444444,332.703333333,110.3,327.464444444,332.703333333,41,2016-06-18 02-22-22.088385,2016-06-18 02-22-22.908385,2016-06-18 02-22-24.768385,109.48,110.3,112.16,0,1,0,0,0,0
41,10280,112.18,112.96,115.14,0.354545454545,0.78,2.2,20.1342281879,316.241111111,304.801944444,0.963827705302,51.33,-75.73,26.49,26.49,23.5517948718,7.952,18.0278666667,21.1775166667, ,112.18,112.96,316.241111111,307.464444444,112.96,316.241111111,307.464444444,39,2016-06-18 02-22-24.788385,2016-06-18 02-22-25.568385,2016-06-18 02-22-27.748385,112.18,112.96,115.14,0,1,0,0,0,0
42,10281,115.16,115.9,117.88,0.37,0.74,2.0,21.897810219,290.996666667,321.273333333,1.10404471987,48.13,-73.6,26.59,26.59,23.4097297297,7.69,16.9862,20.3478666667, ,115.16,115.9,290.996666667,324.47,115.9,290.996666667,324.47,37,2016-06-18 02-22-27.768385,2016-06-18 02-22-28.508385,2016-06-18 02-22-30.488385,115.16,115.9,117.88,0,1,0,0,0,0
43,10282,117.9,118.82,121.0,0.418181818182,0.92,2.2,19.2307692308,325.828055556,307.985833333,0.945240374738,47.74,-74.61,26.5,26.5,23.9634782609,7.786,21.7099666667,18.6729833333, ,117.9,118.82,325.828055556,308.664444444,118.82,325.828055556,308.664444444,46,2016-06-18 02-22-30.508385,2016-06-18 02-22-31.428385,2016-06-18 02-22-33.608385,117.9,118.82,121.0,0,1,0,0,0,0
44,10283,121.02,121.82,125.3,0.228571428571,0.8,3.5,13.9534883721,297.1625,307.545555556,1.03494066565,50.76,-74.33,26.49,26.49,23.5955,8.06,18.53885,31.2687333333, ,121.02,121.82,297.1625,309.075833333,121.82,297.1625,309.075833333,40,2016-06-18 02-22-33.628385,2016-06-18 02-22-34.428385,2016-06-18 02-22-37.908385,121.02,121.82,125.3,0,1,0,0,0,0
45,10284,125.32,126.24,128.84,0.351145038168,0.92,2.62,16.9491525424,310.211944444,281.57,0.907669756251,35.18,-71.35,26.41,26.41,23.957826087,7.846,21.6981,21.9978666667, ,125.32,126.24,310.211944444,282.7575,126.24,310.211944444,282.7575,46,2016-06-18 02-22-37.928385,2016-06-18 02-22-38.848385,2016-06-18 02-22-41.448385,125.32,126.24,128.84,0,1,0,0,0,0
46,10285,128.86,129.78,131.86,0.438095238095,0.92,2.1,19.8675496689,283.760833333,291.967777778,1.02892204801,47.11,-75.79,26.58,26.58,23.9152173913,7.844,21.66285,17.8721333333, ,128.86,129.78,283.760833333,293.084722222,129.78,283.760833333,293.084722222,46,2016-06-18 02-22-41.468385,2016-06-18 02-22-42.388385,2016-06-18 02-22-44.468385,128.86,129.78,131.86,0,1,0,0,0,0
47,10286,131.88,132.8,134.92,0.429906542056,0.92,2.14,19.6078431373,289.690555556,283.886666667,0.979965211922,45.69,-73.46,26.48,26.48,23.9026086957,7.944,21.6530833333,18.1782, ,131.88,132.8,289.690555556,285.459166667,132.62,287.895555556,294.704444444,46,2016-06-18 02-22-44.488385,2016-06-18 02-22-45.408385,2016-06-18 02-22-47.528385,131.88,132.8,134.92,0,1,0,0,0,0
48,10287,134.94,135.86,137.8,0.469387755102,0.92,1.96,20.8333333333,291.483888889,295.666666667,1.01434994501,51.11,-75.4,26.51,26.51,23.9160869565,7.744,21.6643166667,16.7340666667, ,134.94,135.86,291.483888889,295.821111111,135.68,291.543333333,304.394722222,46,2016-06-18 02-22-47.548385,2016-06-18 02-22-48.468385,2016-06-18 02-22-50.408385,134.94,135.86,137.8,0,1,0,0,0,0
49,10288,137.82,138.56,140.8,0.327433628319,0.74,2.26,20.0,306.468888889,316.87,1.03393855458,47.74,-74.98,26.51,26.51,23.4,7.77,16.9769333333,22.4076666667, ,137.82,138.56,306.468888889,316.128333333,138.56,306.468888889,316.128333333,37,2016-06-18 02-22-50.428385,2016-06-18 02-22-51.168385,2016-06-18 02-22-53.408385,137.82,138.56,140.8,0,1,0,0,0,0
50,10289,140.82,141.7,143.78,0.419047619048,0.88,2.1,20.1342281879,317.629166667,310.456666667,0.977418635463,49.63,-76.17,26.44,26.44,23.8693181818,7.608,20.6648666667,18.5033333333, ,140.82,141.7,317.629166667,313.937777778,141.7,317.629166667,313.937777778,44,2016-06-18 02-22-53.428385,2016-06-18 02-22-54.308385,2016-06-18 02-22-56.388385,140.82,141.7,143.78,0,1,0,0,0,0
51,10290,143.8,144.64,146.38,0.477272727273,0.84,1.76,23.0769230769,284.384166667,303.981388889,1.0689110876,50.85,-74.27,26.53,26.53,23.7211904762,7.708,19.5890333333,16.5598833333, ,143.8,144.64,284.384166667,302.258888889,144.62,284.19,305.203611111,42,2016-06-18 02-22-56.408385,2016-06-18 02-22-57.248385,2016-06-18 02-22-58.988385,143.8,144.64,146.38,0,1,0,0,0,0
52,10291,146.4,147.16,149.28,0.355140186916,0.76,2.14,20.6896551724,307.341666667,308.121111111,1.00253608452,52.34,-75.08,26.49,26.49,23.4373684211,7.696,17.4721166667,21.0679333333, ,146.4,147.16,307.341666667,311.417222222,147.16,307.341666667,311.417222222,38,2016-06-18 02-22-59.008385,2016-06-18 02-22-59.768385,2016-06-18 02-23-01.888385,146.4,147.16,149.28,0,1,0,0,0,0
53,10292,149.3,150.02,153.58,0.201117318436,0.72,3.58,13.9534883721,294.649444444,325.612222222,1.10508344191,47.65,-75.86,26.62,26.62,23.3272222222,7.98,16.4543166667,33.4156666667, ,149.3,150.02,294.649444444,327.332222222,150.02,294.649444444,327.332222222,36,2016-06-18 02-23-01.908385,2016-06-18 02-23-02.628385,2016-06-18 02-23-06.188385,149.3,150.02,153.58,0,1,0,0,0,0
54,10293,153.6,154.52,157.02,0.365079365079,0.92,2.52,17.4418604651,304.854166667,280.919444444,0.921487961001,35.09,-69.58,26.46,26.46,23.9589130435,7.796,21.7013,21.15435, ,153.6,154.52,304.854166667,281.636666667,154.52,304.854166667,281.636666667,46,2016-06-18 02-23-06.208385,2016-06-18 02-23-07.128385,2016-06-18 02-23-09.628385,153.6,154.52,157.02,0,1,0,0,0,0
55,10294,157.04,157.96,159.96,0.455445544554,0.92,2.02,20.4081632653,282.048611111,280.48,0.99443850794,46.49,-71.28,26.63,26.63,23.9339130435,7.818,21.6836833333,17.2266, ,157.04,157.96,282.048611111,281.8975,157.96,282.048611111,281.8975,46,2016-06-18 02-23-09.648385,2016-06-18 02-23-10.568385,2016-06-18 02-23-12.568385,157.04,157.96,159.96,0,1,0,0,0,0
56,10295,159.98,160.72,162.7,0.37,0.74,2.0,21.897810219,300.372222222,308.746666667,1.02788022269,46.74,-74.35,26.73,26.73,23.4902702703,7.626,17.0428666667,20.27985, ,159.98,160.72,300.372222222,312.738888889,160.72,300.372222222,312.738888889,37,2016-06-18 02-23-12.588385,2016-06-18 02-23-13.328385,2016-06-18 02-23-15.308385,159.98,160.72,162.7,0,1,0,0,0,0
57,10296,162.72,163.64,165.58,0.469387755102,0.92,1.96,20.8333333333,336.488333333,340.954722222,1.01327353268,48.13,-68.46,26.56,26.56,23.93,7.744,21.6805,16.79335, ,162.72,163.64,336.488333333,341.92,163.64,336.488333333,341.92,46,2016-06-18 02-23-15.328385,2016-06-18 02-23-16.248385,2016-06-18 02-23-18.188385,162.72,163.64,165.58,0,1,0,0,0,0
58,10297,165.6,166.5,168.3,0.494505494505,0.9,1.82,22.0588235294,334.51,339.315555556,1.01436595485,47.13,-79.08,26.53,26.53,23.914,7.736,21.1801333333,16.0678, ,165.6,166.5,334.51,339.164166667,166.5,334.51,339.164166667,45,2016-06-18 02-23-18.208385,2016-06-18 02-23-19.108385,2016-06-18 02-23-20.908385,165.6,166.5,168.3,0,1,0,0,0,0
59,10298,168.32,169.2,171.02,0.478260869565,0.88,1.84,22.0588235294,330.085,329.975555556,0.999668435571,48.97,-77.33,26.71,26.71,23.8818181818,7.73,20.67635,16.5791, ,168.32,169.2,330.085,328.823333333,169.2,330.085,328.823333333,44,2016-06-18 02-23-20.928385,2016-06-18 02-23-21.808385,2016-06-18 02-23-23.628385,168.32,169.2,171.02,0,1,0,0,0,0
60,10299,171.04,171.9,173.72,0.467391304348,0.86,1.84,22.2222222222,325.136666667,334.758611111,1.02959353844,47.97,-77.35,26.54,26.54,23.7988372093,7.738,20.1234666667,16.9549166667, ,171.04,171.9,325.136666667,338.547777778,171.9,325.136666667,338.547777778,43,2016-06-18 02-23-23.648385,2016-06-18 02-23-24.508385,2016-06-18 02-23-26.328385,171.04,171.9,173.72,0,1,0,0,0,0
61,10300,173.74,174.56,176.48,0.422680412371,0.82,1.94,21.7391304348,319.886666667,318.565555556,0.995870065092,47.45,-76.2,26.65,26.65,23.7046341463,7.804,19.1014,18.4032666667, ,173.74,174.56,319.886666667,317.516111111,174.56,319.886666667,317.516111111,41,2016-06-18 02-23-26.348385,2016-06-18 02-23-27.168385,2016-06-18 02-23-29.088385,173.74,174.56,176.48,0,1,0,0,0,0
62,10301,176.5,177.3,179.48,0.363636363636,0.8,2.2,20.0,307.979166667,315.751111111,1.02523529279,45.65,-77.25,26.51,26.51,23.62475,7.752,18.5578833333,20.8450833333, ,176.5,177.3,307.979166667,314.61,177.3,307.979166667,314.61,40,2016-06-18 02-23-29.108385,2016-06-18 02-23-29.908385,2016-06-18 02-23-32.088385,176.5,177.3,179.48,0,1,0,0,0,0
63,10302,179.5,180.22,183.78,0.201117318436,0.72,3.58,13.9534883721,293.925833333,318.913333333,1.08501294261,47.02,-74.13,26.65,26.65,23.3566666667,8.038,16.4756833333,33.3043333333, ,179.5,180.22,293.925833333,321.045,180.22,293.925833333,321.045,36,2016-06-18 02-23-32.108385,2016-06-18 02-23-32.828385,2016-06-18 02-23-36.388385,179.5,180.22,183.78,0,1,0,0,0,0
64,10303,183.8,184.72,186.92,0.414414414414,0.92,2.22,19.1082802548,321.563333333,292.16,0.908561299485,36.84,-70.55,26.32,26.32,23.9145652174,7.792,21.6585833333,18.7661333333, ,183.8,184.72,321.563333333,293.138055556,184.72,321.563333333,293.138055556,46,2016-06-18 02-23-36.408385,2016-06-18 02-23-37.328385,2016-06-18 02-23-39.528385,183.8,184.72,186.92,0,1,0,0,0,0
65,10304,186.94,187.66,189.58,0.371134020619,0.72,1.94,22.5563909774,294.143611111,290.074444444,0.986166054563,47.89,-73.16,26.72,26.72,23.3547222222,7.786,16.4745166667,20.1495333333, ,186.94,187.66,294.143611111,293.426666667,187.66,294.143611111,293.426666667,36,2016-06-18 02-23-39.548385,2016-06-18 02-23-40.268385,2016-06-18 02-23-42.188385,186.94,187.66,189.58,0,1,0,0,0,0
