BN,ventBN,BS,IEnd,BE,I:E ratio,iTime,eTime,inst_RR,tvi,tve,tve:tvi ratio,maxF,minF,maxP,PIP,Maw,PEEP,ipAUC,epAUC, ,BS.1,x01,tvi1,tve1,x02,tvi2,tve2,x0_index,abs_time_at_BS,abs_time_at_x0,abs_time_at_BE,rel_time_at_BS,rel_time_at_x0,rel_time_at_BE,vc,pc,prvc,ps,cpap_sbt,other_mode
11,23,30.02,30.94,33.0,0.442307692308,0.92,2.08,20.0,406.649444444,432.405833333,1.06333806486,47.82,-52.8,25.19,25.19,22.5647826087,8.996,20.43225,19.9730833333, ,30.02,30.94,406.649444444,431.914444444,30.94,406.649444444,431.914444444,46,2016-06-27 00-27-49.313697,2016-06-27 00-27-50.233697,2016-06-27 00-27-52.293697,30.02,30.94,33.0,0,0,1,0,0,0
12,24,33.02,33.94,36.0,0.442307692308,0.92,2.08,20.0,396.843055556,426.575555556,1.07492256595,49.55,-56.1,25.41,25.41,22.6856521739,8.948,20.5389166667,19.9520166667, ,33.02,33.94,396.843055556,426.52,33.94,396.843055556,426.52,46,2016-06-27 00-27-52.313697,2016-06-27 00-27-53.233697,2016-06-27 00-27-55.293697,33.02,33.94,36.0,0,0,1,0,0,0
13,25,36.02,36.94,39.0,0.442307692308,0.92,2.08,20.0,430.333333333,474.890277778,1.10354053705,47.92,-57.28,29.47,29.47,23.7695652174,9.222,21.5333,20.1144333333, ,36.02,36.94,430.333333333,473.397777778,36.94,430.333333333,473.397777778,46,2016-06-27 00-27-55.313697,2016-06-27 00-27-56.233697,2016-06-27 00-27-58.293697,36.02,36.94,39.0,0,0,1,0,0,0
14,26,39.02,39.94,42.0,0.442307692308,0.92,2.08,20.0,415.7425,411.050833333,0.988714969803,46.48,-52.97,25.58,25.58,22.9015217391,9.23,20.7331333333,19.9429, ,39.02,39.94,415.7425,409.937777778,39.94,415.7425,409.937777778,46,2016-06-27 00-27-58.313697,2016-06-27 00-27-59.233697,2016-06-27 00-28-01.293697,39.02,39.94,42.0,0,0,1,0,0,0
15,27,42.02,42.94,45.0,0.442307692308,0.92,2.08,20.0,416.285277778,449.603333333,1.0800365935,50.54,-56.34,25.77,25.77,22.9006521739,9.304,20.7371833333,20.0370666667, ,42.02,42.94,416.285277778,447.563333333,42.94,416.285277778,447.563333333,46,2016-06-27 00-28-01.313697,2016-06-27 00-28-02.233697,2016-06-27 00-28-04.293697,42.02,42.94,45.0,0,0,1,0,0,0
16,28,45.02,45.94,48.0,0.442307692308,0.92,2.08,20.0,374.601944444,405.5325,1.08256912708,49.36,-53.05,25.77,25.77,22.5973913043,9.132,20.4565,19.9452333333, ,45.02,45.94,374.601944444,404.162222222,45.94,374.601944444,404.162222222,46,2016-06-27 00-28-04.313697,2016-06-27 00-28-05.233697,2016-06-27 00-28-07.293697,45.02,45.94,48.0,0,0,1,0,0,0
17,29,48.02,48.94,51.0,0.442307692308,0.92,2.08,20.0,468.310555556,494.438055556,1.05579096967,55.0,-58.62,27.51,27.51,24.1886956522,9.192,21.9069166667,20.22115, ,48.02,48.94,468.310555556,493.705555556,48.94,468.310555556,493.705555556,46,2016-06-27 00-28-07.313697,2016-06-27 00-28-08.233697,2016-06-27 00-28-10.293697,48.02,48.94,51.0,0,0,1,0,0,0
18,30,51.02,51.94,54.0,0.442307692308,0.92,2.08,20.0,407.862222222,430.508333333,1.0555239242,47.02,-55.0,25.38,25.38,22.6241304348,8.95,20.4850166667,19.9565166667, ,51.02,51.94,407.862222222,430.144444444,51.94,407.862222222,430.144444444,46,2016-06-27 00-28-10.313697,2016-06-27 00-28-11.233697,2016-06-27 00-28-13.293697,51.02,51.94,54.0,0,0,1,0,0,0
19,31,54.02,54.94,57.0,0.442307692308,0.92,2.08,20.0,425.444722222,445.867777778,1.04800401671,51.17,-57.43,25.75,25.75,22.8860869565,9.052,20.7256333333,20.0158, ,54.02,54.94,425.444722222,445.006666667,54.94,425.444722222,445.006666667,46,2016-06-27 00-28-13.313697,2016-06-27 00-28-14.233697,2016-06-27 00-28-16.293697,54.02,54.94,57.0,0,0,1,0,0,0
20,32,57.02,57.94,60.0,0.442307692308,0.92,2.08,20.0,412.283333333,431.138055556,1.04573243859,48.96,-54.36,25.0,25.0,22.5713043478,9.13,20.43745,19.9878666667, ,57.02,57.94,412.283333333,429.514444444,57.94,412.283333333,429.514444444,46,2016-06-27 00-28-16.313697,2016-06-27 00-28-17.233697,2016-06-27 00-28-19.293697,57.02,57.94,60.0,0,0,1,0,0,0
21,33,60.02,60.94,63.0,0.442307692308,0.92,2.08,20.0,405.685833333,442.072222222,1.0896910513,49.09,-56.09,25.42,25.42,22.5795652174,9.256,20.4439,20.0280666667, ,60.02,60.94,405.685833333,441.126666667,60.94,405.685833333,441.126666667,46,2016-06-27 00-28-19.313697,2016-06-27 00-28-20.233697,2016-06-27 00-28-22.293697,60.02,60.94,63.0,0,0,1,0,0,0
22,34,63.02,63.94,66.0,0.442307692308,0.92,2.08,20.0,419.083611111,435.094166667,1.03820372625,48.23,-55.43,25.65,25.65,22.8569565217,9.134,20.6977333333,19.9894333333, ,63.02,63.94,419.083611111,434.387777778,63.94,419.083611111,434.387777778,46,2016-06-27 00-28-22.313697,2016-06-27 00-28-23.233697,2016-06-27 00-28-25.293697,63.02,63.94,66.0,0,0,1,0,0,0
23,35,66.02,66.94,69.0,0.442307692308,0.92,2.08,20.0,425.082777778,448.573888889,1.05526243908,52.38,-55.95,25.86,25.86,22.78,9.094,20.6235833333,20.02165, ,66.02,66.94,425.082777778,446.964444444,66.94,425.082777778,446.964444444,46,2016-06-27 00-28-25.313697,2016-06-27 00-28-26.233697,2016-06-27 00-28-28.293697,66.02,66.94,69.0,0,0,1,0,0,0
24,36,69.02,69.94,72.0,0.442307692308,0.92,2.08,20.0,415.988611111,434.889444444,1.04543593942,49.31,-54.8,25.59,25.59,22.4760869565,8.982,20.3503666667,19.8266, ,69.02,69.94,415.988611111,433.697777778,69.94,415.988611111,433.697777778,46,2016-06-27 00-28-28.313697,2016-06-27 00-28-29.233697,2016-06-27 00-28-31.293697,69.02,69.94,72.0,0,0,1,0,0,0
25,37,72.02,72.94,75.0,0.442307692308,0.92,2.08,20.0,414.948888889,443.122222222,1.06789591221,49.38,-55.7,25.27,25.27,22.3582608696,8.868,20.24515,19.7995166667, ,72.02,72.94,414.948888889,443.43,72.94,414.948888889,443.43,46,2016-06-27 00-28-31.313697,2016-06-27 00-28-32.233697,2016-06-27 00-28-34.293697,72.02,72.94,75.0,0,0,1,0,0,0
26,38,75.02,75.94,78.0,0.442307692308,0.92,2.08,20.0,410.354444444,437.569166667,1.06632003769,49.48,-54.58,25.17,25.17,22.3913043478,8.95,20.2713833333,19.8242333333, ,75.02,75.94,410.354444444,436.604444444,75.94,410.354444444,436.604444444,46,2016-06-27 00-28-34.313697,2016-06-27 00-28-35.233697,2016-06-27 00-28-37.293697,75.02,75.94,78.0,0,0,1,0,0,0
27,39,78.02,78.94,81.0,0.442307692308,0.92,2.08,20.0,411.900555556,447.278888889,1.08589047248,51.21,-54.3,25.53,25.53,22.4580434783,9.084,20.33655,19.84945, ,78.02,78.94,411.900555556,445.567777778,78.94,411.900555556,445.567777778,46,2016-06-27 00-28-37.313697,2016-06-27 00-28-38.233697,2016-06-27 00-28-40.293697,78.02,78.94,81.0,0,0,1,0,0,0
28,40,81.02,81.94,84.0,0.442307692308,0.92,2.08,20.0,413.313055556,429.296944444,1.03867259617,49.04,-54.06,25.19,25.19,22.5002173913,9.144,20.37185,19.8092666667, ,81.02,81.94,413.313055556,428.344444444,81.94,413.313055556,428.344444444,46,2016-06-27 00-28-40.313697,2016-06-27 00-28-41.233697,2016-06-27 00-28-43.293697,81.02,81.94,84.0,0,0,1,0,0,0
29,41,84.02,84.94,87.0,0.442307692308,0.92,2.08,20.0,413.060277778,438.384166667,1.06130797429,50.43,-54.97,25.35,25.35,22.5258695652,9.186,20.3981333333,19.8578666667, ,84.02,84.94,413.060277778,437.518888889,84.94,413.060277778,437.518888889,46,2016-06-27 00-28-43.313697,2016-06-27 00-28-44.233697,2016-06-27 00-28-46.293697,84.02,84.94,87.0,0,0,1,0,0,0
30,42,87.02,87.94,90.0,0.442307692308,0.92,2.08,20.0,415.871944444,472.584444444,1.13637010324,52.39,-54.81,25.8,25.8,22.5365217391,8.172,20.40965,19.0926833333, ,87.02,87.94,415.871944444,469.998888889,87.94,415.871944444,469.998888889,46,2016-06-27 00-28-46.313697,2016-06-27 00-28-47.233697,2016-06-27 00-28-49.293697,87.02,87.94,90.0,0,0,1,0,0,0
31,43,90.02,90.94,93.0,0.442307692308,0.92,2.08,20.0,441.223333333,439.572222222,0.996257878978,46.19,-54.68,25.87,25.87,22.6073913043,9.094,20.4813833333,19.8534, ,90.02,90.94,441.223333333,438.525555556,90.94,441.223333333,438.525555556,46,2016-06-27 00-28-49.313697,2016-06-27 00-28-50.233697,2016-06-27 00-28-52.293697,90.02,90.94,93.0,0,0,1,0,0,0
32,44,93.02,93.94,96.0,0.442307692308,0.92,2.08,20.0,392.521944444,427.3225,1.08865887894,47.12,-52.48,24.76,24.76,21.7958695652,8.948,19.73295,19.7910833333, ,93.02,93.94,392.521944444,426.47,93.94,392.521944444,426.47,46,2016-06-27 00-28-52.313697,2016-06-27 00-28-53.233697,2016-06-27 00-28-55.293697,93.02,93.94,96.0,0,0,1,0,0,0
33,45,96.02,96.94,99.0,0.442307692308,0.92,2.08,20.0,417.614722222,443.340277778,1.06160117014,45.51,-54.77,25.06,25.06,22.3423913043,8.982,20.2340833333,19.84125, ,96.02,96.94,417.614722222,441.992222222,96.94,417.614722222,441.992222222,46,2016-06-27 00-28-55.313697,2016-06-27 00-28-56.233697,2016-06-27 00-28-58.293697,96.02,96.94,99.0,0,0,1,0,0,0
34,46,99.02,99.94,102.0,0.442307692308,0.92,2.08,20.0,413.641111111,444.729166667,1.0751570739,49.41,-56.13,25.09,25.09,22.3476086957,9.012,20.2374,19.8265, ,99.02,99.94,413.641111111,443.406666667,99.94,413.641111111,443.406666667,46,2016-06-27 00-28-58.313697,2016-06-27 00-28-59.233697,2016-06-27 00-29-01.293697,99.02,99.94,102.0,0,0,1,0,0,0
35,47,102.02,102.94,105.0,0.442307692308,0.92,2.08,20.0,407.070555556,439.503611111,1.07967428524,48.53,-53.59,25.09,25.09,22.3136956522,9.058,20.20075,19.8333833333, ,102.02,102.94,407.070555556,438.958888889,102.94,407.070555556,438.958888889,46,2016-06-27 00-29-01.313697,2016-06-27 00-29-02.233697,2016-06-27 00-29-04.293697,102.02,102.94,105.0,0,0,1,0,0,0
36,48,105.02,105.94,107.56,0.560975609756,0.92,1.64,23.4375,416.935,426.64,1.02327700961,49.69,-55.53,25.36,25.36,22.5210869565,9.044,20.3944166667,15.8768833333, ,105.02,105.94,416.935,424.782222222,105.94,416.935,424.782222222,46,2016-06-27 00-29-04.313697,2016-06-27 00-29-05.233697,2016-06-27 00-29-06.853697,105.02,105.94,107.56,0,0,1,0,0,0
37,49,107.58,107.9,107.9,16.0,0.32,0.02,176.470588235,241.283888889,0.0,0.0,208.29,-1.73,41.95,41.95,12.876875,-0.15,4.02383333333,0.0, ,107.58,107.9,241.283888889,0.0,107.9,241.283888889,0.0,16,2016-06-27 00-29-06.873697,2016-06-27 00-29-07.193697,2016-06-27 00-29-07.193697,107.58,107.9,107.9,0,0,1,0,0,0
38,50,107.92,109.58,110.82,1.31746031746,1.66,1.26,20.5479452055,264.364444444,97.0366666667,0.36705642043,13.18,-6.69,10.11,2.76,0.537951807229,8.748,0.8548,10.1671333333, ,107.92,109.58,264.364444444,96.9911111111,109.58,264.364444444,96.9911111111,83,2016-06-27 00-29-07.213697,2016-06-27 00-29-08.873697,2016-06-27 00-29-10.113697,107.92,109.58,110.82,0,0,1,0,0,0
39,51,110.84,111.76,113.82,0.442307692308,0.92,2.08,20.0,453.646111111,399.930555556,0.881591499982,54.28,-52.89,25.39,25.39,22.6663043478,8.94,20.5269333333,19.7256833333, ,110.84,111.76,453.646111111,398.556666667,111.76,453.646111111,398.556666667,46,2016-06-27 00-29-10.133697,2016-06-27 00-29-11.053697,2016-06-27 00-29-13.113697,110.84,111.76,113.82,0,0,1,0,0,0
40,52,113.84,114.64,116.82,0.363636363636,0.8,2.2,20.0,409.9425,425.342777778,1.03756692165,55.79,-53.35,30.2,30.2,24.3975,9.028,19.2256,22.1587833333, ,113.84,114.64,409.9425,424.328888889,114.64,409.9425,424.328888889,40,2016-06-27 00-29-13.133697,2016-06-27 00-29-13.933697,2016-06-27 00-29-16.113697,113.84,114.64,116.82,0,0,1,0,0,0
41,53,116.84,117.76,119.82,0.442307692308,0.92,2.08,20.0,312.83,342.917777778,1.09617932352,38.18,-43.48,21.01,21.01,18.7406521739,9.092,16.9562,19.4882, ,116.84,117.76,312.83,341.925555556,117.76,312.83,341.925555556,46,2016-06-27 00-29-16.133697,2016-06-27 00-29-17.053697,2016-06-27 00-29-19.113697,116.84,117.76,119.82,0,0,1,0,0,0
42,54,119.84,120.76,122.82,0.442307692308,0.92,2.08,20.0,370.631388889,413.901111111,1.11674597328,43.63,-51.07,23.21,23.21,20.8206521739,9.002,18.8454333333,19.6940166667, ,119.84,120.76,370.631388889,413.207777778,120.76,370.631388889,413.207777778,46,2016-06-27 00-29-19.133697,2016-06-27 00-29-20.053697,2016-06-27 00-29-22.113697,119.84,120.76,122.82,0,0,1,0,0,0
43,55,122.84,123.76,125.82,0.442307692308,0.92,2.08,20.0,413.023611111,432.335277778,1.04675681038,49.46,-55.43,24.52,24.52,21.9306521739,8.988,19.8572,19.7828833333, ,122.84,123.76,413.023611111,431.375555556,123.76,413.023611111,431.375555556,46,2016-06-27 00-29-22.133697,2016-06-27 00-29-23.053697,2016-06-27 00-29-25.113697,122.84,123.76,125.82,0,0,1,0,0,0
44,56,125.84,126.76,128.82,0.442307692308,0.92,2.08,20.0,401.158888889,424.280277778,1.05763648651,47.65,-53.55,24.59,24.59,21.8819565217,9.018,19.8122333333,19.7812333333, ,125.84,126.76,401.158888889,423.173333333,126.76,401.158888889,423.173333333,46,2016-06-27 00-29-25.133697,2016-06-27 00-29-26.053697,2016-06-27 00-29-28.113697,125.84,126.76,128.82,0,0,1,0,0,0
45,57,128.84,129.76,131.82,0.442307692308,0.92,2.08,20.0,382.981666667,423.288055556,1.10524365106,49.07,-54.78,25.0,25.0,22.0532608696,8.832,19.969,19.7071833333, ,128.84,129.76,382.981666667,423.095555556,129.76,382.981666667,423.095555556,46,2016-06-27 00-29-28.133697,2016-06-27 00-29-29.053697,2016-06-27 00-29-31.113697,128.84,129.76,131.82,0,0,1,0,0,0
46,58,131.84,132.76,134.82,0.442307692308,0.92,2.08,20.0,425.986111111,457.646388889,1.07432232402,52.12,-58.68,25.83,25.83,22.9952173913,8.966,20.8254833333,19.8640666667, ,131.84,132.76,425.986111111,456.545555556,132.76,425.986111111,456.545555556,46,2016-06-27 00-29-31.133697,2016-06-27 00-29-32.053697,2016-06-27 00-29-34.113697,131.84,132.76,134.82,0,0,1,0,0,0
47,59,134.84,135.76,137.82,0.442307692308,0.92,2.08,20.0,421.110555556,449.758888889,1.06803043276,51.51,-57.7,25.87,25.87,22.8165217391,9.072,20.6642833333,19.8707833333, ,134.84,135.76,421.110555556,448.544444444,135.76,421.110555556,448.544444444,46,2016-06-27 00-29-34.133697,2016-06-27 00-29-35.053697,2016-06-27 00-29-37.113697,134.84,135.76,137.82,0,0,1,0,0,0
48,60,137.84,138.76,140.82,0.442307692308,0.92,2.08,20.0,423.821944444,455.852222222,1.07557484504,49.62,-55.86,25.44,25.44,22.6806521739,9.1,20.5380166667,19.8872666667, ,137.84,138.76,423.821944444,455.045555556,138.76,423.821944444,455.045555556,46,2016-06-27 00-29-37.133697,2016-06-27 00-29-38.053697,2016-06-27 00-29-40.113697,137.84,138.76,140.82,0,0,1,0,0,0
49,61,140.84,141.76,143.82,0.442307692308,0.92,2.08,20.0,412.575555556,455.436388889,1.10388602222,49.03,-55.83,25.17,25.17,22.4189130435,9.042,20.2969666667,19.8530166667, ,140.84,141.76,412.575555556,454.32,141.76,412.575555556,454.32,46,2016-06-27 00-29-40.133697,2016-06-27 00-29-41.053697,2016-06-27 00-29-43.113697,140.84,141.76,143.82,0,0,1,0,0,0
50,62,143.84,144.76,146.82,0.442307692308,0.92,2.08,20.0,416.236666667,447.960555556,1.07621598823,44.36,-55.77,25.21,25.21,22.4317391304,9.204,20.3115,19.8739333333, ,143.84,144.76,416.236666667,446.004444444,144.76,416.236666667,446.004444444,46,2016-06-27 00-29-43.133697,2016-06-27 00-29-44.053697,2016-06-27 00-29-46.113697,143.84,144.76,146.82,0,0,1,0,0,0
51,63,146.84,147.76,149.82,0.442307692308,0.92,2.08,20.0,410.438611111,433.523888889,1.05624538519,50.48,-57.78,25.81,25.81,22.4556521739,9.074,20.3358833333,19.8267, ,146.84,147.76,410.438611111,432.405555556,147.76,410.438611111,432.405555556,46,2016-06-27 00-29-46.133697,2016-06-27 00-29-47.053697,2016-06-27 00-29-49.113697,146.84,147.76,149.82,0,0,1,0,0,0
52,64,149.84,150.76,152.82,0.442307692308,0.92,2.08,20.0,407.206666667,452.68,1.11167138717,50.24,-56.6,25.3,25.3,22.4569565217,9.102,20.3352,19.8648333333, ,149.84,150.76,407.206666667,452.091111111,150.76,407.206666667,452.091111111,46,2016-06-27 00-29-49.133697,2016-06-27 00-29-50.053697,2016-06-27 00-29-52.113697,149.84,150.76,152.82,0,0,1,0,0,0
53,65,152.84,153.76,155.82,0.442307692308,0.92,2.08,20.0,422.153888889,472.780555556,1.11992467202,51.15,-56.24,25.58,25.58,22.6908695652,8.186,20.5446166667,19.42405, ,152.84,153.76,422.153888889,471.084444444,153.76,422.153888889,471.084444444,46,2016-06-27 00-29-52.133697,2016-06-27 00-29-53.053697,2016-06-27 00-29-55.113697,152.84,153.76,155.82,0,0,1,0,0,0
54,66,155.84,156.76,160.38,0.252747252747,0.92,3.64,13.1578947368,416.310833333,461.679444444,1.10897773365,45.65,-59.71,25.06,25.06,22.4397826087,9.512,20.3303166667,35.0360666667, ,155.84,156.76,416.310833333,461.381111111,156.76,416.310833333,461.381111111,46,2016-06-27 00-29-55.133697,2016-06-27 00-29-56.053697,2016-06-27 00-29-59.673697,155.84,156.76,160.38,0,0,1,0,0,0
55,67,160.4,161.32,163.38,0.442307692308,0.92,2.08,20.0,422.606666667,423.415555556,1.00191404668,45.0,-54.03,25.56,25.56,22.472826087,9.042,20.3419833333,19.7892166667, ,160.4,161.32,422.606666667,422.164444444,161.32,422.606666667,422.164444444,46,2016-06-27 00-29-59.693697,2016-06-27 00-30-00.613697,2016-06-27 00-30-02.673697,160.4,161.32,163.38,0,0,1,0,0,0
56,68,163.4,164.32,166.38,0.442307692308,0.92,2.08,20.0,410.265555556,435.645,1.06186101685,48.62,-53.72,24.92,24.92,22.2210869565,8.856,20.1203833333,19.7799833333, ,163.4,164.32,410.265555556,434.868888889,164.32,410.265555556,434.868888889,46,2016-06-27 00-30-02.693697,2016-06-27 00-30-03.613697,2016-06-27 00-30-05.673697,163.4,164.32,166.38,0,0,1,0,0,0
57,69,166.4,167.32,169.38,0.442307692308,0.92,2.08,20.0,421.713611111,471.405277778,1.1178327314,50.5,-55.65,25.25,25.25,22.3747826087,9.004,20.26375,19.90895, ,166.4,167.32,421.713611111,470.006666667,167.32,421.713611111,470.006666667,46,2016-06-27 00-30-05.693697,2016-06-27 00-30-06.613697,2016-06-27 00-30-08.673697,166.4,167.32,169.38,0,0,1,0,0,0
58,70,169.4,170.32,172.38,0.442307692308,0.92,2.08,20.0,397.259444444,424.536944444,1.0686641951,47.29,-53.3,24.66,24.66,22.0515217391,8.938,19.9667166667,19.7849833333, ,169.4,170.32,397.259444444,423.656666667,170.32,397.259444444,423.656666667,46,2016-06-27 00-30-08.693697,2016-06-27 00-30-09.613697,2016-06-27 00-30-11.673697,169.4,170.32,172.38,0,0,1,0,0,0
59,71,172.4,173.32,175.38,0.442307692308,0.92,2.08,20.0,416.079166667,446.019166667,1.07195746002,49.6,-56.1,25.58,25.58,22.5460869565,9.058,20.4136,19.8532333333, ,172.4,173.32,416.079166667,445.523333333,173.32,416.079166667,445.523333333,46,2016-06-27 00-30-11.693697,2016-06-27 00-30-12.613697,2016-06-27 00-30-14.673697,172.4,173.32,175.38,0,0,1,0,0,0
60,72,175.4,176.32,178.38,0.442307692308,0.92,2.08,20.0,427.258333333,474.9175,1.11154648827,51.81,-56.52,25.58,25.58,22.6113043478,9.222,20.47415,19.92645, ,175.4,176.32,427.258333333,473.138888889,176.32,427.258333333,473.138888889,46,2016-06-27 00-30-14.693697,2016-06-27 00-30-15.613697,2016-06-27 00-30-17.673697,175.4,176.32,178.38,0,0,1,0,0,0
61,73,178.4,179.32,181.38,0.442307692308,0.92,2.08,20.0,415.353611111,446.939166667,1.0760449764,49.25,-53.51,25.95,25.95,22.3265217391,8.972,20.2114333333,19.8311333333, ,178.4,179.32,415.353611111,446.04,179.32,415.353611111,446.04,46,2016-06-27 00-30-17.693697,2016-06-27 00-30-18.613697,2016-06-27 00-30-20.673697,178.4,179.32,181.38,0,0,1,0,0,0
62,74,181.4,182.32,184.38,0.442307692308,0.92,2.08,20.0,418.9125,445.177222222,1.06269739438,49.78,-53.65,25.08,25.08,22.1236956522,9.064,20.0320666667,19.8103333333, ,181.4,182.32,418.9125,444.018888889,182.32,418.9125,444.018888889,46,2016-06-27 00-30-20.693697,2016-06-27 00-30-21.613697,2016-06-27 00-30-23.673697,181.4,182.32,184.38,0,0,1,0,0,0
63,75,184.4,185.32,187.38,0.442307692308,0.92,2.08,20.0,390.792222222,440.824722222,1.12802839247,47.37,-53.9,24.55,24.55,21.8891304348,8.972,19.81825,19.7979666667, ,184.4,185.32,390.792222222,440.551111111,185.32,390.792222222,440.551111111,46,2016-06-27 00-30-23.693697,2016-06-27 00-30-24.613697,2016-06-27 00-30-26.673697,184.4,185.32,187.38,0,0,1,0,0,0
64,76,187.4,188.32,190.38,0.442307692308,0.92,2.08,20.0,413.1575,442.706944444,1.07152101667,45.08,-58.71,25.11,25.11,22.4810869565,8.938,20.3601666667,19.8106333333, ,187.4,188.32,413.1575,442.324444444,188.32,413.1575,442.324444444,46,2016-06-27 00-30-26.693697,2016-06-27 00-30-27.613697,2016-06-27 00-30-29.673697,187.4,188.32,190.38,0,0,1,0,0,0
65,77,190.4,191.32,193.38,0.442307692308,0.92,2.08,20.0,427.847777778,470.251666667,1.09910975607,50.18,-54.08,25.43,25.43,22.6463043478,9.09,20.50795,19.8568333333, ,190.4,191.32,427.847777778,468.98,191.32,427.847777778,468.98,46,2016-06-27 00-30-29.693697,2016-06-27 00-30-30.613697,2016-06-27 00-30-32.673697,190.4,191.32,193.38,0,0,1,0,0,0
66,78,193.4,194.32,196.38,0.442307692308,0.92,2.08,20.0,403.303611111,504.651666667,1.25129468907,47.29,-53.25,24.73,24.73,22.1986956522,9.134,20.0969666667,19.9647166667, ,193.4,194.32,403.303611111,502.331111111,194.32,403.303611111,502.331111111,46,2016-06-27 00-30-32.693697,2016-06-27 00-30-33.613697,2016-06-27 00-30-35.673697,193.4,194.32,196.38,0,0,1,0,0,0
